6.92036e-02 6.50000e+03  2.71209e+03 2.66061e+03 2.08865e+03
6.95436e-02 6.86207e+03  4.25198e+03 4.05504e+03 2.08956e+03
6.98837e-02 1.02344e+04  3.79625e+03 7.12287e+03 2.08953e+03
7.02234e-02 1.14494e+04  2.98804e+03 7.79954e+03 2.10745e+03
7.05615e-02 7.71336e+03  4.70855e+03 5.22798e+03 2.12002e+03
7.08998e-02 6.50175e+03  2.90355e+03 2.80440e+03 2.11692e+03
7.12387e-02 6.68642e+03  3.95827e+03 3.69646e+03 2.11784e+03
7.15777e-02 9.59171e+03  4.14290e+03 6.72577e+03 2.11787e+03
7.19165e-02 1.16184e+04  2.83146e+03 7.87824e+03 2.13242e+03
7.22537e-02 8.15128e+03  4.68434e+03 5.66212e+03 2.14849e+03
7.25908e-02 6.51357e+03  3.17856e+03 3.01454e+03 2.14481e+03
7.29286e-02 6.58149e+03  3.64886e+03 3.39816e+03 2.14569e+03
7.32665e-02 8.96440e+03  4.42891e+03 6.30374e+03 2.14584e+03
7.36043e-02 1.16423e+04  2.78110e+03 7.88251e+03 2.15665e+03
7.39406e-02 8.63596e+03  4.55619e+03 6.07233e+03 2.17540e+03
7.42765e-02 6.54779e+03  3.50665e+03 3.28253e+03 2.17211e+03
7.46133e-02 6.52745e+03  3.36103e+03 3.16488e+03 2.17288e+03
7.49501e-02 8.38245e+03  4.62806e+03 5.86871e+03 2.17319e+03
7.52868e-02 1.15197e+04  2.84229e+03 7.81423e+03 2.18027e+03
7.56222e-02 9.14164e+03  4.34425e+03 6.44678e+03 2.20056e+03
7.59571e-02 6.61864e+03  3.85144e+03 3.59821e+03 2.19870e+03
7.62928e-02 6.50567e+03  3.12940e+03 3.00122e+03 2.19934e+03
7.66286e-02 7.87059e+03  4.72324e+03 5.43402e+03 2.19980e+03
7.69643e-02 1.12598e+04  3.00695e+03 7.67743e+03 2.20373e+03
7.72989e-02 9.63816e+03  4.07752e+03 6.77540e+03 2.22429e+03
7.76326e-02 6.73967e+03  4.17613e+03 3.95060e+03 2.22469e+03
7.79673e-02 6.50026e+03  2.98041e+03 2.90916e+03 2.22516e+03
7.83020e-02 7.44368e+03  4.71017e+03 5.01174e+03 2.22577e+03
7.86367e-02 1.08816e+04  3.25542e+03 7.47799e+03 2.22745e+03
7.89705e-02 1.00946e+04  3.78984e+03 7.05056e+03 2.24707e+03
7.93032e-02 6.92143e+03  4.44817e+03 4.32823e+03 2.25028e+03
7.96367e-02 6.50013e+03  2.92983e+03 2.88778e+03 2.25009e+03
7.99704e-02 7.10672e+03  4.59710e+03 4.61193e+03 2.25081e+03
8.03041e-02 1.04111e+04  3.55996e+03 7.22333e+03 2.25125e+03
8.06371e-02 1.04834e+04  3.51558e+03 7.26756e+03 2.26898e+03
8.09688e-02 7.17027e+03  4.64322e+03 4.72051e+03 2.27535e+03
8.13011e-02 6.50005e+03  2.98271e+03 2.93534e+03 2.27407e+03
8.16338e-02 6.85850e+03  4.40283e+03 4.24597e+03 2.27486e+03
8.19665e-02 9.88037e+03  3.88615e+03 6.92270e+03 2.27486e+03
8.22987e-02 1.07775e+04  3.28793e+03 7.42151e+03 2.29010e+03
8.26296e-02 7.48534e+03  4.74443e+03 5.11527e+03 2.29973e+03
8.29607e-02 6.50076e+03  3.13182e+03 3.04805e+03 2.29738e+03
8.32923e-02 6.68995e+03  4.15490e+03 3.92351e+03 2.29819e+03
8.36240e-02 9.32323e+03  4.19820e+03 6.58632e+03 2.29819e+03
8.39555e-02 1.09565e+04  3.13353e+03 7.50983e+03 2.31073e+03
8.42855e-02 7.85889e+03  4.74613e+03 5.50120e+03 2.32335e+03
8.46155e-02 6.50838e+03  3.35926e+03 3.22044e+03 2.32038e+03
8.49462e-02 6.58660e+03  3.88568e+03 3.65209e+03 2.32116e+03
8.52769e-02 8.77220e+03  4.46359e+03 6.22515e+03 2.32127e+03
8.56074e-02 1.10100e+04  3.06940e+03 7.53289e+03 2.33081e+03
8.59366e-02 8.27828e+03  4.65409e+03 5.86930e+03 2.34583e+03
8.62655e-02 6.53314e+03  3.64012e+03 3.44571e+03 2.34298e+03
8.65951e-02 6.53123e+03  3.62768e+03 3.43592e+03 2.34368e+03
8.69249e-02 8.25408e+03  4.65788e+03 5.84917e+03 2.34393e+03
8.72545e-02 1.09343e+04  3.10297e+03 7.49169e+03 2.35037e+03
8.75828e-02 8.72220e+03  4.48372e+03 6.20882e+03 2.36689e+03
8.79107e-02 6.58743e+03  3.94327e+03 3.71535e+03 2.36505e+03
8.82394e-02 6.50741e+03  3.41241e+03 3.27969e+03 2.36563e+03
8.85682e-02 7.79233e+03  4.76357e+03 5.47009e+03 2.36601e+03
8.88968e-02 1.07354e+04  3.22985e+03 7.38923e+03 2.36974e+03
8.92245e-02 9.16485e+03  4.25891e+03 6.51052e+03 2.38673e+03
8.95513e-02 6.68358e+03  4.23617e+03 4.01997e+03 2.38663e+03
8.98791e-02 6.50060e+03  3.26513e+03 3.18594e+03 2.38708e+03
9.02069e-02 7.40234e+03  4.77413e+03 5.09908e+03 2.38759e+03
9.05346e-02 1.04280e+04  3.43484e+03 7.23022e+03 2.38930e+03
9.08615e-02 9.57852e+03  4.00887e+03 6.76684e+03 2.40574e+03
9.11874e-02 6.83165e+03  4.48877e+03 4.34945e+03 2.40787e+03
9.15141e-02 6.50006e+03  3.20183e+03 3.15433e+03 2.40789e+03
9.18409e-02 7.08997e+03  4.69437e+03 4.74483e+03 2.40851e+03
9.21677e-02 1.00332e+04  3.69534e+03 7.02063e+03 2.40902e+03
9.24939e-02 9.93882e+03  3.76366e+03 6.97342e+03 2.42406e+03
9.28189e-02 7.03848e+03  4.67821e+03 4.69472e+03 2.42877e+03
9.31445e-02 6.50010e+03  3.22950e+03 3.18387e+03 2.42793e+03
9.34704e-02 6.85592e+03  4.53862e+03 4.41758e+03 2.42861e+03
9.37963e-02 9.57834e+03  3.98203e+03 6.76822e+03 2.42864e+03
9.41217e-02 1.02209e+04  3.55327e+03 7.12552e+03 2.44172e+03
9.44459e-02 7.30483e+03  4.78755e+03 5.04512e+03 2.44915e+03
9.47704e-02 6.50028e+03  3.34428e+03 3.27177e+03 2.44737e+03
9.50954e-02 6.69376e+03  4.32955e+03 4.12623e+03 2.44808e+03
9.54203e-02 9.09289e+03  4.26340e+03 6.48170e+03 2.44807e+03
9.57451e-02 1.04051e+04  3.40281e+03 7.22021e+03 2.45894e+03
9.60685e-02 7.62519e+03  4.80942e+03 5.39036e+03 2.46894e+03
9.63919e-02 6.50507e+03  3.53242e+03 3.41363e+03 2.46653e+03
9.67160e-02 6.59177e+03  4.09502e+03 3.87808e+03 2.46723e+03
9.70400e-02 8.60600e+03  4.50973e+03 6.17060e+03 2.46730e+03
9.73640e-02 1.04801e+04  3.32926e+03 7.25720e+03 2.47577e+03
9.76866e-02 7.98962e+03  4.74661e+03 5.72225e+03 2.48789e+03
9.80090e-02 6.52289e+03  3.77333e+03 3.60392e+03 2.48545e+03
9.83321e-02 6.53519e+03  3.86379e+03 3.67742e+03 2.48608e+03
9.86553e-02 8.14240e+03  4.69778e+03 5.84374e+03 2.48627e+03
9.89784e-02 1.04409e+04  3.34139e+03 7.23703e+03 2.49215e+03
9.93003e-02 8.38077e+03  4.61079e+03 6.03136e+03 2.50572e+03
9.96217e-02 6.56450e+03  4.04046e+03 3.83549e+03 2.50395e+03
9.99440e-02 6.50940e+03  3.66435e+03 3.52863e+03 2.50449e+03
1.00266e-01 5.22396e+02  3.43373e+03 3.69083e+03 2.50451e+03
1.00588e-01 1.62799e+02  3.67709e+03 3.69083e+03 2.50742e+03
1.00910e-01 8.61784e+01  3.78923e+03 3.69083e+03 2.50771e+03
1.01232e-01 3.63893e+02  3.37539e+03 3.69083e+03 2.50780e+03
1.01554e-01 1.40418e+01  3.89719e+03 3.69083e+03 2.50801e+03
1.01876e-01 2.72502e+02  3.51114e+03 3.69083e+03 2.50816e+03
1.02198e-01 2.23745e+02  3.58390e+03 3.69083e+03 2.51140e+03
1.02520e-01 3.88026e+01  3.85726e+03 3.69083e+03 2.51222e+03
1.02841e-01 3.67809e+02  3.36710e+03 3.69083e+03 2.51213e+03
1.03164e-01 4.73189e+01  3.84507e+03 3.69083e+03 2.51236e+03
1.03486e-01 2.09700e+02  3.60255e+03 3.69083e+03 2.51238e+03
1.03808e-01 2.78848e+02  3.49929e+03 3.69083e+03 2.51525e+03
1.04129e-01 9.18791e+00  3.89902e+03 3.69083e+03 2.51665e+03
1.04451e-01 3.50566e+02  3.39044e+03 3.69083e+03 2.51635e+03
1.04773e-01 9.54510e+01  3.77088e+03 3.69083e+03 2.51660e+03
1.05096e-01 1.45378e+02  3.69626e+03 3.69083e+03 2.51659e+03
1.05418e-01 3.21617e+02  3.43295e+03 3.69083e+03 2.51901e+03
1.05739e-01 4.60428e-02  3.91043e+03 3.69083e+03 2.52099e+03
1.06061e-01 3.14386e+02  3.44200e+03 3.69083e+03 2.52052e+03
1.06383e-01 1.52207e+02  3.68382e+03 3.69083e+03 2.52076e+03
1.06705e-01 8.67339e+01  3.78141e+03 3.69083e+03 2.52078e+03
1.07028e-01 3.47248e+02  3.39214e+03 3.69083e+03 2.52271e+03
1.07349e-01 1.16864e+01  3.89103e+03 3.69083e+03 2.52520e+03
1.07671e-01 2.63575e+02  3.51534e+03 3.69083e+03 2.52467e+03
1.07993e-01 2.10679e+02  3.59420e+03 3.69083e+03 2.52490e+03
1.08315e-01 4.00701e+01  3.84866e+03 3.69083e+03 2.52496e+03
1.08637e-01 3.52974e+02  3.38113e+03 3.69083e+03 2.52635e+03
1.08959e-01 4.21052e+01  3.84381e+03 3.69083e+03 2.52921e+03
1.09280e-01 2.04080e+02  3.60165e+03 3.69083e+03 2.52877e+03
1.09603e-01 2.63917e+02  3.51245e+03 3.69083e+03 2.52898e+03
1.09925e-01 1.02255e+01  3.89085e+03 3.69083e+03 2.52907e+03
1.10247e-01 3.38308e+02  3.40069e+03 3.69083e+03 2.52994e+03
1.10569e-01 8.71328e+01  3.77488e+03 3.69083e+03 2.53300e+03
1.10890e-01 1.42713e+02  3.69076e+03 3.69083e+03 2.53282e+03
1.11212e-01 3.05645e+02  3.44789e+03 3.69083e+03 2.53298e+03
1.11535e-01 1.32422e-04  3.90378e+03 3.69083e+03 2.53312e+03
1.11857e-01 3.05138e+02  3.44796e+03 3.69083e+03 2.53357e+03
1.12179e-01 1.40981e+02  3.69272e+03 3.69083e+03 2.53663e+03
1.12500e-01 8.63098e+01  3.77245e+03 3.69083e+03 2.53682e+03
1.12822e-01 3.31165e+02  3.40754e+03 3.69083e+03 2.53693e+03
1.13144e-01 9.85170e+00  3.88678e+03 3.69083e+03 2.53711e+03
1.13467e-01 2.57417e+02  3.51702e+03 3.69083e+03 2.53727e+03
1.13789e-01 1.97103e+02  3.60701e+03 3.69083e+03 2.54016e+03
1.14110e-01 4.09180e+01  3.83781e+03 3.69083e+03 2.54081e+03
1.14432e-01 3.37752e+02  3.39555e+03 3.69083e+03 2.54076e+03
1.14754e-01 3.79796e+01  3.84262e+03 3.69083e+03 2.54097e+03
1.15076e-01 2.00747e+02  3.59954e+03 3.69083e+03 2.54099e+03
1.15398e-01 2.48858e+02  3.52770e+03 3.69083e+03 2.54357e+03
1.15720e-01 1.12276e+01  3.87994e+03 3.69083e+03 2.54473e+03
1.16042e-01 3.24836e+02  3.41271e+03 3.69083e+03 2.54449e+03
1.16364e-01 8.04666e+01  3.77713e+03 3.69083e+03 2.54472e+03
1.16686e-01 1.41660e+02  3.68570e+03 3.69083e+03 2.54471e+03
1.17008e-01 2.90136e+02  3.46391e+03 3.69083e+03 2.54690e+03
1.17330e-01 5.97079e-02  3.89461e+03 3.69083e+03 2.54857e+03
1.17651e-01 2.94116e+02  3.45642e+03 3.69083e+03 2.54818e+03
1.17974e-01 1.31796e+02  3.69845e+03 3.69083e+03 2.54840e+03
1.18296e-01 8.67977e+01  3.76550e+03 3.69083e+03 2.54841e+03
1.18618e-01 3.16246e+02  3.42267e+03 3.69083e+03 2.55019e+03
1.18940e-01 8.03838e+00  3.88088e+03 3.69083e+03 2.55232e+03
1.19261e-01 2.49270e+02  3.52114e+03 3.69083e+03 2.55185e+03
1.19583e-01 1.85671e+02  3.61597e+03 3.69083e+03 2.55207e+03
1.19906e-01 4.21175e+01  3.83006e+03 3.69083e+03 2.55211e+03
1.20228e-01 3.24362e+02  3.40837e+03 3.69083e+03 2.55341e+03
1.20550e-01 3.36530e+01  3.84102e+03 3.69083e+03 2.55589e+03
1.20871e-01 1.95552e+02  3.59912e+03 3.69083e+03 2.55549e+03
1.21193e-01 2.35703e+02  3.53926e+03 3.69083e+03 2.55568e+03
