6.28807e-03 6.09138e+05  1.45785e+09 1.45807e+09 5.41008e+05
6.34323e-03 6.37724e+05  1.48255e+09 1.48279e+09 5.43514e+05
6.39839e-03 7.06564e+05  1.50740e+09 1.50773e+09 5.46563e+05
6.45355e-03 7.46531e+05  1.53244e+09 1.53282e+09 5.50893e+05
6.50868e-03 7.15764e+05  1.55772e+09 1.55805e+09 5.55951e+05
6.56378e-03 6.58376e+05  1.58317e+09 1.58343e+09 5.60271e+05
6.61887e-03 6.34283e+05  1.60875e+09 1.60900e+09 5.63275e+05
6.67397e-03 6.48018e+05  1.63452e+09 1.63479e+09 5.65393e+05
6.72902e-03 6.80953e+05  1.66050e+09 1.66080e+09 5.66955e+05
6.78405e-03 7.29540e+05  1.68666e+09 1.68701e+09 5.68091e+05
6.83909e-03 7.75990e+05  1.71298e+09 1.71339e+09 5.69368e+05
6.89410e-03 7.78224e+05  1.73949e+09 1.73989e+09 5.71750e+05
6.94907e-03 7.21872e+05  1.76617e+09 1.76651e+09 5.75840e+05
7.00404e-03 6.43172e+05  1.79304e+09 1.79329e+09 5.81256e+05
7.05899e-03 5.86315e+05  1.82007e+09 1.82026e+09 5.86758e+05
7.11394e-03 5.72454e+05  1.84729e+09 1.84746e+09 5.91092e+05
7.16885e-03 6.08874e+05  1.87469e+09 1.87489e+09 5.93762e+05
7.22376e-03 6.86401e+05  1.90225e+09 1.90255e+09 5.95108e+05
7.27867e-03 7.66977e+05  1.93000e+09 1.93039e+09 5.95829e+05
7.33354e-03 8.07244e+05  1.95793e+09 1.95837e+09 5.96636e+05
7.38837e-03 7.92581e+05  1.98601e+09 1.98644e+09 5.98188e+05
7.44321e-03 7.33409e+05  2.01427e+09 2.01464e+09 6.01013e+05
7.49805e-03 6.51540e+05  2.04272e+09 2.04300e+09 6.05362e+05
7.55286e-03 5.85129e+05  2.07135e+09 2.07155e+09 6.10883e+05
7.60763e-03 5.73684e+05  2.10013e+09 2.10030e+09 6.16382e+05
7.66241e-03 6.18974e+05  2.12908e+09 2.12930e+09 6.20476e+05
7.71720e-03 6.84896e+05  2.15824e+09 2.15853e+09 6.22782e+05
7.77193e-03 7.39278e+05  2.18755e+09 2.18790e+09 6.24054e+05
7.82664e-03 7.66845e+05  2.21700e+09 2.21740e+09 6.25128e+05
7.88135e-03 7.52572e+05  2.24663e+09 2.24703e+09 6.26307e+05
7.93606e-03 6.97432e+05  2.27647e+09 2.27680e+09 6.27841e+05
7.99073e-03 6.41340e+05  2.30647e+09 2.30673e+09 6.30306e+05
8.04536e-03 6.25546e+05  2.33659e+09 2.33683e+09 6.34092e+05
8.10000e-03 6.42218e+05  2.36688e+09 2.36714e+09 6.38812e+05
8.15467e-03 6.59381e+05  2.39741e+09 2.39768e+09 6.43519e+05
8.20928e-03 6.75222e+05  2.42810e+09 2.42838e+09 6.47377e+05
8.26386e-03 7.03433e+05  2.45891e+09 2.45923e+09 6.50101e+05
8.31845e-03 7.27067e+05  2.48987e+09 2.49024e+09 6.51913e+05
8.37305e-03 7.17088e+05  2.52105e+09 2.52140e+09 6.53254e+05
8.42761e-03 6.81638e+05  2.55240e+09 2.55270e+09 6.54488e+05
8.48212e-03 6.52969e+05  2.58388e+09 2.58415e+09 6.55885e+05
8.53664e-03 6.41053e+05  2.61552e+09 2.61577e+09 6.57822e+05
8.59117e-03 6.37245e+05  2.64735e+09 2.64759e+09 6.60702e+05
8.64566e-03 6.45087e+05  2.67934e+09 2.67959e+09 6.64521e+05
8.70012e-03 6.72643e+05  2.71148e+09 2.71177e+09 6.68702e+05
8.75458e-03 7.08383e+05  2.74379e+09 2.74413e+09 6.72459e+05
8.80905e-03 7.30710e+05  2.77629e+09 2.77665e+09 6.75327e+05
8.86348e-03 7.30703e+05  2.80893e+09 2.80929e+09 6.77395e+05
8.91789e-03 7.11420e+05  2.84172e+09 2.84206e+09 6.79020e+05
8.97230e-03 6.78599e+05  2.87468e+09 2.87498e+09 6.80487e+05
9.02670e-03 6.41649e+05  2.90781e+09 2.90805e+09 6.82037e+05
9.08107e-03 6.13499e+05  2.94110e+09 2.94130e+09 6.83975e+05
9.13542e-03 6.06880e+05  2.97454e+09 2.97475e+09 6.86517e+05
9.18976e-03 6.32559e+05  3.00816e+09 3.00840e+09 6.89528e+05
9.24409e-03 6.87399e+05  3.04192e+09 3.04222e+09 6.92616e+05
9.29840e-03 7.40496e+05  3.07583e+09 3.07620e+09 6.95526e+05
9.35270e-03 7.54550e+05  3.10992e+09 3.11031e+09 6.98237e+05
9.40700e-03 7.27826e+05  3.14419e+09 3.14455e+09 7.00749e+05
9.46127e-03 6.89910e+05  3.17859e+09 3.17890e+09 7.03022e+05
9.51552e-03 6.56722e+05  3.21313e+09 3.21340e+09 7.05111e+05
9.56977e-03 6.25497e+05  3.24785e+09 3.24808e+09 7.07159e+05
9.62401e-03 6.10322e+05  3.28275e+09 3.28296e+09 7.09208e+05
9.67822e-03 6.33772e+05  3.31778e+09 3.31802e+09 7.11194e+05
9.73242e-03 6.79924e+05  3.35295e+09 3.35325e+09 7.13252e+05
9.78662e-03 7.04953e+05  3.38830e+09 3.38864e+09 7.15710e+05
9.84080e-03 6.98303e+05  3.42383e+09 3.42415e+09 7.18665e+05
9.89493e-03 6.86539e+05  3.45947e+09 3.45978e+09 7.21804e+05
9.94905e-03 6.79674e+05  3.49525e+09 3.49555e+09 7.24761e+05
1.00000e-02 6.66677e+05  3.52908e+09 3.52938e+09 7.27275e+05
