1.65915e-04 1.69145e-04  8.29742e-01 8.29866e-01 4.67134e-05
1.67008e-04 2.00699e-04  8.40625e-01 8.40777e-01 4.70407e-05
1.68100e-04 1.87420e-04  8.51597e-01 8.51739e-01 4.71348e-05
1.69193e-04 2.06555e-04  8.62659e-01 8.62810e-01 4.72955e-05
1.70287e-04 1.70153e-04  8.73788e-01 8.73906e-01 4.74166e-05
1.71380e-04 1.86333e-04  8.84953e-01 8.85089e-01 4.76382e-05
1.72473e-04 2.87069e-04  8.96185e-01 8.96413e-01 4.77529e-05
1.73566e-04 3.56089e-04  9.07490e-01 9.07780e-01 4.78770e-05
1.74660e-04 3.56712e-04  9.18885e-01 9.19176e-01 4.81157e-05
1.75754e-04 3.24303e-04  9.30369e-01 9.30629e-01 4.82564e-05
1.76848e-04 2.34417e-04  9.41923e-01 9.42105e-01 4.84050e-05
1.77941e-04 2.16492e-04  9.53538e-01 9.53700e-01 4.84951e-05
1.79036e-04 2.38441e-04  9.65193e-01 9.65372e-01 4.86097e-05
1.80130e-04 1.80127e-04  9.76926e-01 9.77061e-01 4.87233e-05
1.81224e-04 1.43326e-04  9.88748e-01 9.88849e-01 4.88854e-05
1.82318e-04 1.24128e-04  1.00065e+00 1.00073e+00 4.91239e-05
1.83413e-04 1.31609e-04  1.01263e+00 1.01272e+00 4.92311e-05
1.84507e-04 2.25398e-04  1.02468e+00 1.02485e+00 4.93836e-05
1.85602e-04 2.70576e-04  1.03678e+00 1.03699e+00 4.95802e-05
1.86697e-04 2.89573e-04  1.04894e+00 1.04917e+00 4.97215e-05
1.87792e-04 3.51928e-04  1.06117e+00 1.06145e+00 4.98901e-05
1.88887e-04 3.47503e-04  1.07350e+00 1.07377e+00 4.99613e-05
1.89982e-04 3.44858e-04  1.08591e+00 1.08617e+00 5.02322e-05
1.91078e-04 2.91959e-04  1.09839e+00 1.09861e+00 5.04417e-05
1.92173e-04 1.84351e-04  1.11092e+00 1.11106e+00 5.05826e-05
1.93269e-04 1.52986e-04  1.12351e+00 1.12363e+00 5.08386e-05
1.94364e-04 1.70754e-04  1.13618e+00 1.13630e+00 5.10030e-05
1.95460e-04 1.55573e-04  1.14892e+00 1.14903e+00 5.11077e-05
1.96556e-04 1.71915e-04  1.16176e+00 1.16188e+00 5.12026e-05
1.97652e-04 1.48050e-04  1.17467e+00 1.17477e+00 5.13431e-05
1.98748e-04 1.81697e-04  1.18763e+00 1.18777e+00 5.15952e-05
1.99844e-04 2.82623e-04  1.20067e+00 1.20088e+00 5.17265e-05
2.00941e-04 3.55377e-04  1.21376e+00 1.21403e+00 5.18857e-05
2.02037e-04 3.64890e-04  1.22693e+00 1.22721e+00 5.20935e-05
2.03134e-04 3.63760e-04  1.24017e+00 1.24047e+00 5.22229e-05
2.04231e-04 2.80127e-04  1.25351e+00 1.25374e+00 5.23601e-05
2.05327e-04 2.60392e-04  1.26693e+00 1.26713e+00 5.24080e-05
2.06424e-04 2.30056e-04  1.28039e+00 1.28056e+00 5.25210e-05
2.07522e-04 1.56054e-04  1.29391e+00 1.29402e+00 5.26065e-05
2.08619e-04 1.29316e-04  1.30750e+00 1.30758e+00 5.27611e-05
2.09716e-04 1.33027e-04  1.32117e+00 1.32126e+00 5.28959e-05
2.10814e-04 1.32988e-04  1.33494e+00 1.33503e+00 5.29899e-05
2.11911e-04 2.05453e-04  1.34879e+00 1.34894e+00 5.31019e-05
2.13009e-04 2.14058e-04  1.36269e+00 1.36285e+00 5.32036e-05
2.14107e-04 2.66494e-04  1.37664e+00 1.37685e+00 5.33258e-05
2.15205e-04 3.59107e-04  1.39065e+00 1.39093e+00 5.34204e-05
2.16303e-04 3.92310e-04  1.40475e+00 1.40507e+00 5.35213e-05
2.17401e-04 3.80761e-04  1.41895e+00 1.41925e+00 5.37081e-05
2.18499e-04 3.23708e-04  1.43322e+00 1.43347e+00 5.38469e-05
2.19597e-04 1.87603e-04  1.44755e+00 1.44769e+00 5.40194e-05
2.20696e-04 1.52581e-04  1.46194e+00 1.46205e+00 5.42039e-05
2.21795e-04 1.48442e-04  1.47638e+00 1.47649e+00 5.42841e-05
2.22893e-04 1.39929e-04  1.49090e+00 1.49100e+00 5.44030e-05
2.23992e-04 1.42747e-04  1.50552e+00 1.50562e+00 5.44763e-05
2.25091e-04 1.37866e-04  1.52023e+00 1.52032e+00 5.47022e-05
2.26190e-04 1.60084e-04  1.53500e+00 1.53511e+00 5.49074e-05
2.27290e-04 2.86271e-04  1.54982e+00 1.55003e+00 5.49558e-05
2.28389e-04 3.52385e-04  1.56469e+00 1.56497e+00 5.51457e-05
2.29488e-04 3.84974e-04  1.57964e+00 1.57995e+00 5.52886e-05
2.30588e-04 3.82227e-04  1.59468e+00 1.59499e+00 5.54043e-05
2.31688e-04 3.01872e-04  1.60981e+00 1.61006e+00 5.54988e-05
2.32787e-04 2.48770e-04  1.62502e+00 1.62521e+00 5.55744e-05
2.33887e-04 2.06973e-04  1.64027e+00 1.64042e+00 5.56881e-05
2.34987e-04 1.26529e-04  1.65558e+00 1.65566e+00 5.57614e-05
2.36088e-04 1.20318e-04  1.67096e+00 1.67103e+00 5.58765e-05
2.37188e-04 1.28951e-04  1.68643e+00 1.68651e+00 5.60027e-05
2.38288e-04 1.49979e-04  1.70198e+00 1.70208e+00 5.60565e-05
2.39389e-04 2.14886e-04  1.71761e+00 1.71777e+00 5.61560e-05
2.40489e-04 2.26465e-04  1.73330e+00 1.73347e+00 5.62779e-05
2.41590e-04 2.63209e-04  1.74904e+00 1.74925e+00 5.63690e-05
2.42691e-04 3.46308e-04  1.76486e+00 1.76514e+00 5.64533e-05
2.43792e-04 3.65175e-04  1.78075e+00 1.78105e+00 5.65372e-05
